title,description,location,City,features,date,price
NEW 2BHK FLAT FOR SALE FOR KEELKATTALAI,"SITE ADDRESS: 188, ENGINEERS AVENUE, 3RD MAIN ROAD S. KOLATHUR, KOVILAMBAKKAM, CHENNAI_ 117  AMENITIES:  * COVERD CAR PARKING  * 24/7 PURE BORE WATER  * CCTV FACLITY ALSO AVAILABLE  * 1 YEAR  MAINTANCES  *  QUALITY CONSTRUCTIONS  * WELL DEVELOP AREA  * ACCESS TO MAIN LOCATION  * 1.5KMS TO KEELKATTALALI BUS STAND   * 500 MTRS TO KAMAKSHI HOSPITAL   * 1.5 KMS TO SCHOOLS AND COLLEGES  * VERY NEAR TO SBI ATM  * NEAR TO SHOPS , BANK AND ATMS   * 100% VASTU  * BANK LOAN  WILL BE ARRAGE IT  ## EXCLUSIVE EB,CCP, REGISTRATION AND 1% GST CHARGES  FOR MORE DETAILS PLEASE CONTACT ME ARE TEXT  ME   THANKS   SRM PROMOTERS  93458    20010",Tamil Nadu,Chennai,2 Bds - 2 Ba - 813 ft2,2021-12-14T06:34:06+0000,4552800
Big Size 2BHK Fully Furnished In 23.90Lacs At Kharar Mohali,2BHK Flat For Sale 23.90 Lacs At Near 200ft. Road in Gated Society Mohali  * Ready To Move * Fully Furnished * Gated Society * CCTV Camera Protection  * NO COMPROMISE TO CONSTRUCTION QUALITY *  * Best Quality Used All Construction Material  # Loan 90% Facility # Down Payment 10% # Booking Amount 21000 # 2.67Lacs Cash Subsidy Benefit Pmay  Contact Direct Builder,Punjab,Mohali,2 Bds - 2 Ba - 987 ft2,2022-01-09T17:16:12+0000,2390000
"3BHK FLAT, READY TO MOVE FLAT, SEMI FURNISHED NEAR SECTOR 4 GURGAON,",TANISHQ BUILDERS DEVELOPERS READY TO MOVE FLAT  3BHK FLAT - 52 Lakh   JAGUAR FITTING ALMIRAH WIRING KEI MODULAR KITCHEN WITH CHIMNEY SEMI FURNISHED  LOAN AVAILABLE 80% REGISTRY APPROVED AREA COVERED CAR PARKING ROOF RIGHT SECURITY GUARD BOTH WATER SUPPLY,Haryana,Gurgaon,3 Bds - 3 Ba - 1200 ft2,2022-01-09T17:16:11+0000,5200000
3bhk flat~super location semi furnished flat & modular kitchen Gurgaon,TANISHQ BUILDERS DEVELOPERS READY TO MOVE FLAT  3BHK FLAT - 58 Lakh   LOAN AVAILABLE 80% REGISTRY APPROVED AREA COVERED CAR PARKING ROOF RIGHT SECURITY GUARD BOTH WATER SUPPLY,Haryana,Gurgaon,3 Bds - 2 Ba - 1200 ft2,2022-01-09T17:16:11+0000,5800000
2Bhk Ready To Move Fully Furnished + Store Gated Society,"Spacial Saturday Sunday OFFERS  Book your dream home in Just paying 31000/-   2bhk READY TO MOVE WITH FULLY FURNISHED FLATS SEC-115, NEAR BY CHANDIGARH TO KHARAR ROAD JUST IN 28.90LAC  *CHIMNEY *MODULAR KITCHEN *Cupboard in all rooms with best material *R.O *AC FETING *LED TV *WALL PAPER *BED BOX *SOFA *LED LIGHTS *Free Car Parking *Branded Bath Fittings  2.67lacs subsidy under PARDHAN MANTRI AWASS YOJNA  10% Down Payment AND 90% Loan Facility  *Near by V.R punjab Mall, school, College,  hospital, Gym, busstand etc.Read Less",Punjab,Kharar,2 Bds - 2 Ba - 950 ft2,2022-01-09T17:16:11+0000,2890000
घर बनाना हुआ आसान 2BHK STARTING IN 19.80LACS WITH LOAN FACILITIES,Loan Available 90% To 100%  for all leading Banks  2BHK Fully Furnished Flat Just 19.80Lacs On Kharar Chandigarh Highway Of  Mohali  * RENT= EMI * 2.6Lacs Subsidy Benefit  * Ready to move * Furnished  * Gated Society * CCTV Camera Protection  Facilities available:-  ∆. Modular Kitchen + Ro + Chimney. ∆. Led Lights + Led Panels. ∆. Wall Ceiling ∆. Near Possession apartments. ∆. 1000+ Families living here. ∆. Boundary wall. ∆. Safe zone for kids. ∆. Shopping Complex. ∆. Eco Friendly Environment. ∆. Security Guard Services is also Available. ∆. Work out for elders. ∆. High-speed internet access. ∆. Covered parking ∆. Many More Benefits  Contact Direct Builder,Punjab,Kharar,2 Bds - 2 Ba - 985 ft2,2022-01-09T17:16:11+0000,1980000
4BHK || 400 Sq. Yard Apartment for Sale in Fragnance,4BHK || 400 Sq. Yard Apartment available for Sale in Fragnance  Possession by end of this Year  Basic Price: - 1.16 Crore  No Brokerage & Zero Percentage Brokerage Charges applicable.  Call for Site Visit,Gujarat,Ahmedabad,4 Bds - 4 Ba - 3600 ft2,2022-01-09T17:16:11+0000,11600000
Live life like king in flat,We are developing a tower on heritage property model where each and every things will be designed in heritage theme,Uttar Pradesh,Greater Noida,1 Bds - 1 Ba - 650 ft2,2022-01-09T17:15:45+0000,1700000
Meera flash,C-48 Meera flash near pramukh Swami society behind RTO warshiya,Gujarat,Vadodara,1 Bds - 1 Ba - 1000 ft2,2022-01-09T17:15:14+0000,1500000
House for Sale,I want to Sale,Haryana,Faridabad,2 Bds - 2 Ba - 1450 ft2,2022-01-09T17:14:36+0000,3800000
FLAT FOR SALE,1 BHK with 710,Maharashtra,Thane,1 Bds - 1 Ba - 710 ft2,2022-01-09T17:13:18+0000,2650000
Live life like king size flat,We are developing heritage model tower where you will fell living in heritage property It's balcony elevation design are looking like palace,Uttar Pradesh,Greater Noida,2 Bds - 2 Ba - 950 ft2,2022-01-09T17:13:11+0000,2600000
3BHK 1.5 STORY KOTHI AVAILABLE FOR SALE,Available in Khanna colony Good location Neat and clean kothi 7-8 Years old Reasonable price Contact us for more information-            ~SIDHWAN PROPERTY ADVISOR~                                     the Reliable Agents-,Punjab,Ludhiana,3 Bds - 2 Ba - 1125 ft2,2022-01-09T17:12:53+0000,4500000
70 Gaj 3-Bhk Semi-Duplex At Govindpura,* 70 Gaj Semi-Duplex At Govindpura * 80% loanable * 2.67 lac gov.subsidy also available * 500 m from kalwar road * 3 bedroom * Modular Kitchen * Wardrobes * Vaastu friendly * Royal Play Paint * Car Parking * All electric fittings done  For more information contact us,Rajasthan,Jaipur,3 Bds - 2 Ba - 1050 ft2,2022-01-09T17:12:51+0000,2821000
Haveli bangloes,Arajant cell karavanu chhe. Pllzzz,Gujarat,Sidhpur,4+ Bds - 4 Ba - 400 ft2,2022-01-09T17:12:17+0000,9500000
"Vellayani 4 cent, 1750 sqft, 3 room attached, Red bricks, teak wood",2.5 km from Vellayani jn NH  1 km from Vellayani temple  250 mtr from main road bus stop  Residancy area  4 cent  1750 sqft  3 room attached bath  Red bricks  Teak wood  2 Hall  Dining room  Open kitchen  Used all branded material  Open kitchen  Pipe connection  2 big car parking space  Tar road side  Lorry site,Kerala,Thiruvananthapuram,3 Bds - 3 Ba - 1750 ft2,2022-01-09T17:11:38+0000,6200000
"22 Marla house in Friends Colony, Lane no.1, Wadala Road","22 Marla house in Friends Colony, Lane no.1, Wadala Road. East facing. First floor semi-furnished and ground floor unfurnished.",Punjab,Jalandhar,4+ Bds - 4 Ba - 12000 ft2,2022-01-05T16:49:55+0000,22000000
3500 rs per sqft at thirumullaivayal,CMDA approved flat at thirumullaivayal,Tamil Nadu,Chennai,2 Bds - 2 Ba - 660 ft2,2021-09-07T03:34:10+0000,2310000
Flat for slae#$,Flat for sale,Telangana,Hyderabad,2 Bds - 1 Ba - 1450 ft2,2022-01-02T14:52:25+0000,1000000
Self made house,Two and half flour built-up house ready to move.,Uttar Pradesh,Lucknow,4+ Bds - 4+ Ba - 3100 ft2,2022-01-09T17:11:37+0000,8500000
3bhk Luxury Flat - Benz Circle - Posch Location,Property ID - VPROPVIJ61,Andhra Pradesh,Vijayawada,3 Bds - 3 Ba - 1490 ft2,2021-12-27T11:06:11+0000,10500000
2BHK FLATS FOR SALE IN 20.70LACS AT KHARAR MOHALI,2BHK FULLY FURNISHEE READY TO MOVE FLAT  * GATED SOCIETY * PRIME LOCATION * 2.67 LAC BENEFIT UNDER PMAY * 1 LAC CASH DISCOUNT  * SPECIAL OFFERS  - DOUBLE BED WITH BOX - CUPBOARDS IN ALL ROOMS - WALLPAPER IN ALL ROOMS - LED LIGHTS - FALSE HOMES - MODULAR KITCHEN - RO - CHIMNEY  90% LOAN AVAILABLE IN ALL LEADING BANKS.  CONTACT DIRECT OWNER,Punjab,Mohali,2 Bds - 2 Ba - 911 ft2,2021-12-23T17:46:11+0000,2070000
Fantastic house for sale near pidaram,House for sale near pidaram 4.2 cent  Price is slightly negotiable,Kerala,Thiruvananthapuram,3 Bds - 3 Ba - 1650 ft2,2022-01-07T15:02:14+0000,5900000
3bhk house in gated approved colony near isbt 70 lacs,Mdda approved colony near isbt Road front 30 ft Main approach road 40 ft Gated society Park  Swimming pool Gym Party hall Temple Loan facility Security,Uttaranchal,Dehradun,3 Bds - 4 Ba - 1900 ft2,2022-01-09T17:16:14+0000,7000000
"2BHK FLAT ON HIGHWAY, WITH STORE, FURNISHED FLAT JUST 28LKH",1BHK STARTING  15.90LKH 2BHK STARTING  22.90LKH 3BHK STARTING  27.90LKH     24.90LKH  2BHK ON GOOD LOCATION SECTOR 127 MOHALI ON ROAD  Easily you can get rent 12k-14k of 2BHK *(100gaz) 10% only Down payment 90% LOAN   After PMAY get benefit 2.67 lac in principle,Punjab,Mohali,2 Bds - 2 Ba - 1080 ft2,2022-01-09T17:16:14+0000,2790000
2BHK FLAT NEAR AIRPORT ROAD JUST 22.90LKH,1BHK STARTING  15.90LKH 2BHK STARTING  22.90LKH 3BHK STARTING  27.90LKH     24.90LKH  2BHK ON GOOD LOCATION SECTOR 127 MOHALI ON ROAD  Easily you can get rent 12k-14k of 2BHK *(100gaz) 10% only Down payment 90% LOAN   After PMAY,Punjab,Kharar,2 Bds - 2 Ba - 880 ft2,2022-01-09T17:16:14+0000,2280000
2850 FLAT FOR SALE AT BELHEAVEN KOWDIAR,"2850 sqft 3 BHK attached 5 years old beautiful flat for sale at Bhel Heaven Gardens ,Kowdiar. A most expensive prime residential area in the Capital City. One car porch, expecting price 1.95  cr. slightly negotiable.Schools and hospitals are nearby .",Kerala,Thiruvananthapuram,3 Bds - 4 Ba - 2850 ft2,2022-01-09T17:16:13+0000,19500000
IN Miyapur  biggest pree launched gated flats in very lowest price,"Dear property seeker, Greetings from urban rise ameenpur, Miyapur We are glad to announce the launch of our New project CODENAME : CENTRAL PARK-an elevated life style ,LIVE LARGE. A premium life style 2&3bhk apartments located in ameenpur,near Miyapur metro station.  Project highlights of code name CENTRAL PARK. 1)10.1 ACERS 2) 7 TOWERS 3) 2&3BHK 4) 12FLOORS 5)1254-1602 square feet unit sizes 6)Rs.58.92 lakhs onwards 7) choices large sundeck apartments 8) grand clubhouse 50,000 square feet with sporting amenities 9) more than 72% open space 10) exquisitely landscaped central court yard  11)10 minutes to Miyapur metro station 12)20 minutes to hitechCity 13)25 minutes to finacial district, Gachibowli APARTMENTS SIZES: 2BHK-1254,1417sq ft 3BHK-1376,1602 sq ft PRISE RANGE: 2BHK-RS.58.92 lakhs onwards 3BHK-RS.64.65 onwards",Telangana,Hyderabad,2 Bds - 2 Ba - 1254 ft2,2022-01-09T17:16:12+0000,5892000
Well maintained 2bhk Flat with negotiable price in Uttam Nagar West,"2BHK flat at 18.5 Lacs on 20 Ft Road at Uttam Nagar, Delhi with Bike Parking 2 BHK Flat  2 Bedrooms 1 Bathrooms 1 Balcony 1 Drawing Hall 1 Modular kitchen 1 Bike parking Loan facility Intercom and automatic locking system Bank loan upto 90% PMAY Subsidy upto 3.5 lacs conditional Just 5 minutes from uttam nagar West metro station or just 800 to 900m  Other Flats are also available in Uttam Nagar 1RK – 6 Lacs to 8 Lacs 1BHK- 12 Lacs to 18 Lacs 2BHK- 17 Lacs to 25 Lacs 3BHK- 28 Lacs to 40 Lacs 4BHK- 44 Lacs to 60 Lacs",Delhi,Delhi,2 Bds - 1 Ba - 550 ft2,2022-01-09T17:16:12+0000,1850000
Affordable 2BHK In 19.80Lacs With Easy Finance At Mohali,2BHK On Road Property In 19.80LAcs With Up To 90% Loan At Kharar  # Rent=EMI # 2.67Lacs Subsidy Benefits  Facilities Available Are  # Double Bed # Modular Kitchen + Ro + Chimney # Gated Society # Under CCTV Cameras  Loan Facility Is Also Available Up to 90%  Contact Direct Builder,Punjab,Mohali,2 Bds - 2 Ba - 957 ft2,2022-01-09T17:16:12+0000,1980000
"3BHK FLAT, READY TO MOVE FLAT, SEMI FURNISHED NEAR SECTOR 4 GURGAON,",TANISHQ BUILDERS DEVELOPERS READY TO MOVE FLAT  3BHK FLAT - 52 Lakh   JAGUAR FITTING ALMIRAH WIRING KEI MODULAR KITCHEN WITH CHIMNEY SEMI FURNISHED  LOAN AVAILABLE 80% REGISTRY APPROVED AREA COVERED CAR PARKING ROOF RIGHT SECURITY GUARD BOTH WATER SUPPLY,Haryana,Gurgaon,3 Bds - 3 Ba - 1200 ft2,2022-01-09T17:16:11+0000,5200000
3bhk flat~super location semi furnished flat & modular kitchen Gurgaon,TANISHQ BUILDERS DEVELOPERS READY TO MOVE FLAT  3BHK FLAT - 58 Lakh   LOAN AVAILABLE 80% REGISTRY APPROVED AREA COVERED CAR PARKING ROOF RIGHT SECURITY GUARD BOTH WATER SUPPLY,Haryana,Gurgaon,3 Bds - 2 Ba - 1200 ft2,2022-01-09T17:16:11+0000,5800000
घर बनाना हुआ आसान 2BHK STARTING IN 19.80LACS WITH LOAN FACILITIES,Loan Available 90% To 100%  for all leading Banks  2BHK Fully Furnished Flat Just 19.80Lacs On Kharar Chandigarh Highway Of  Mohali  * RENT= EMI * 2.6Lacs Subsidy Benefit  * Ready to move * Furnished  * Gated Society * CCTV Camera Protection  Facilities available:-  ∆. Modular Kitchen + Ro + Chimney. ∆. Led Lights + Led Panels. ∆. Wall Ceiling ∆. Near Possession apartments. ∆. 1000+ Families living here. ∆. Boundary wall. ∆. Safe zone for kids. ∆. Shopping Complex. ∆. Eco Friendly Environment. ∆. Security Guard Services is also Available. ∆. Work out for elders. ∆. High-speed internet access. ∆. Covered parking ∆. Many More Benefits  Contact Direct Builder,Punjab,Kharar,2 Bds - 2 Ba - 985 ft2,2022-01-09T17:16:11+0000,1980000
Live life like king in flat,We are developing a tower on heritage property model where each and every things will be designed in heritage theme,Uttar Pradesh,Greater Noida,1 Bds - 1 Ba - 650 ft2,2022-01-09T17:15:45+0000,1700000
FLAT FOR SALE,1 BHK with 710,Maharashtra,Thane,1 Bds - 1 Ba - 710 ft2,2022-01-09T17:13:18+0000,2650000
Live life like king size flat,We are developing heritage model tower where you will fell living in heritage property It's balcony elevation design are looking like palace,Uttar Pradesh,Greater Noida,2 Bds - 2 Ba - 950 ft2,2022-01-09T17:13:11+0000,2600000
3BHK 1.5 STORY KOTHI AVAILABLE FOR SALE,Available in Khanna colony Good location Neat and clean kothi 7-8 Years old Reasonable price Contact us for more information-            ~SIDHWAN PROPERTY ADVISOR~                                     the Reliable Agents-,Punjab,Ludhiana,3 Bds - 2 Ba - 1125 ft2,2022-01-09T17:12:53+0000,4500000
70 Gaj 3-Bhk Semi-Duplex At Govindpura,* 70 Gaj Semi-Duplex At Govindpura * 80% loanable * 2.67 lac gov.subsidy also available * 500 m from kalwar road * 3 bedroom * Modular Kitchen * Wardrobes * Vaastu friendly * Royal Play Paint * Car Parking * All electric fittings done  For more information contact us,Rajasthan,Jaipur,3 Bds - 2 Ba - 1050 ft2,2022-01-09T17:12:51+0000,2821000
Luxurious 3BHK Villa near Mahindra World City,-Row Individual Villa -24/7 Security -CCTV Surveillance -Fully Compounded -Avenue Trees -Park -Club House will be developed in future -Peaceful Life -Contact for further details,Tamil Nadu,Maraimalainagar,3 Bds - 3 Ba - 1436 ft2,2022-01-08T11:51:43+0000,7500000
"2BHK flat Handewadi, nr Mohammadwadi which can b converted into 3 BHK.","Nyati estate nearby, Delhi public school & toddlers at walking distance. All grocery shops, vegetable vendors, laundry, salon,milk vendors, chemists,bike repair,car wash at walking distance. Open green field view from balcony. Get greeted by more than 50 different species of birds in the morning. Recently got painted and it's ready to move. Shifting as job location is in different city. Location is in Handewadi but very close to Mohammadwadi. Don't wait for price to escalate. Huge Balconies and relaxing to have a cup of tea/coffee with family or have a huge party. Open Reserved parking; modular kitchen Nearby areas: Mohammadwadi, Undri, NIBM, Kondhwa",Maharashtra,Pune,2 Bds - 2 Ba - 1164 ft2,2022-01-03T11:40:12+0000,4700000
3BHK VILLAS AT KOCHI,Residential villas are built on an elevated landscape that is both beautiful and offers practicality in terms of easy access to all major amenities and locations in Cochin and free from the hassles and danger of waterlogging and flooding.  3BHK GATED COMMUNITY NEAR INFOPARK,Kerala,Kochi,3 Bds - 3 Ba - 1461 ft2,2021-12-09T10:17:37+0000,7600000
Haveli bangloes,Arajant cell karavanu chhe. Pllzzz,Gujarat,Sidhpur,4+ Bds - 4 Ba - 400 ft2,2022-01-09T17:12:17+0000,9500000
"Vellayani 4 cent, 1750 sqft, 3 room attached, Red bricks, teak wood",2.5 km from Vellayani jn NH  1 km from Vellayani temple  250 mtr from main road bus stop  Residancy area  4 cent  1750 sqft  3 room attached bath  Red bricks  Teak wood  2 Hall  Dining room  Open kitchen  Used all branded material  Open kitchen  Pipe connection  2 big car parking space  Tar road side  Lorry site,Kerala,Thiruvananthapuram,3 Bds - 3 Ba - 1750 ft2,2022-01-09T17:11:38+0000,6200000
Self made house,Two and half flour built-up house ready to move.,Uttar Pradesh,Lucknow,4+ Bds - 4+ Ba - 3100 ft2,2022-01-09T17:11:37+0000,8500000
Sale stand-alone flat in very good condition,"This flat condition is very good, buyer can ready to move. From this flat vegetable market and bus stand is walking distance, hardly 3 to 4 minutes.",West Bengal,Kolkata,2 Bds - 2 Ba - 599 ft2,2022-01-09T17:10:31+0000,3500000
"House for sell at Kodungallore, Near Chandhapura Junction",5 mts walk from chandhapura jn Kodungallore.. 13 cent ozhavath kadav road building constructed on 1992,Kerala,Kodungallur,3 Bds - 2 Ba - 900 ft2,2022-01-09T17:10:28+0000,6700000
3BHK Flat for Sale,"This society is located near D-Mart, Ring Road , DDU Nagar, Raipur, 492001.",Chhattisgarh,Raipur,3 Bds - 2 Ba - 1250 ft2,2022-01-09T17:09:22+0000,2500000
Pukkattupady 3.500 Cent. 3 Bhk attached 1550 Sgf. New House.,Near. Bus route 30 Mtr. Only. Pukkattupady Chembarakky route.  From. Pukkattupady jn. 1.50 Kmtr.   65 Lakh,Kerala,Choornikkara,3 Bds - 3 Ba - 1600 ft2,2022-01-09T17:08:42+0000,6500000
urgent sell,beautifull flat all word done,West Bengal,Puruliya,2 Bds - 2 Ba - 800 ft2,2022-01-09T17:08:42+0000,2300000
We deal with all types of property,"All types of property, flats,  1Bhk 2Bhk 3Bhk 90 gajh, 100 gajh, 120gajh Plots and Kothis",Punjab,Kharar,2 Bds - 2 Ba - 900 ft2,2022-01-09T17:07:00+0000,2900000
House sale at Burdwan Bajeprapappur,House sale A ready to move property sale at burdwan 2.5 katha land full boundaries all shops and market are near by.  Only 23 lakhs,West Bengal,Chandannagar M.C.,3 Bds - 1 Ba - 7200 ft2,2022-01-09T17:06:52+0000,2300000
M3M Soulitude sector 89,Most valuable location at new gurgaon and most successful builder all India M3M gurgaon,Haryana,Gurgaon,3 Bds - 3 Ba - 1423 ft2,2022-01-09T17:06:07+0000,9200000
Brand New 3 Bhk flat for sale,Beautiful 3 Bhk flat for sale in in columbia Tower Chandigarh Enclave zirakpur.   Ready to move  Gated society Good quality construction  Wallpaper in every bedroom Wooden almihra and windows Loan facilities available  Curtain roads  Led lights Price are negotiable,Punjab,Zirakpur,,2022-01-09T17:05:28+0000,3690000
Servay park. Santoshpur. On road.,G+3 stored house.full furnished. 6 bed. 3 draying. 3 kitchen. 4 balcony. 8 bathroom. 1 office space. Garage. 1 care taker room.very beautiful house.not a single work from house. Prime location. Front road 50 fit.. Well maintain house. Total land 3 katha 1 chatak.  Price negotiable,West Bengal,Kolkata,4+ Bds - 4+ Ba - 00 ft2,2022-01-09T17:04:49+0000,45000000
Lake Garden New building sale @ 2.6 Cr,"Land area - 2 Kata 12 chatak ( G + 3 ) Apertment 1st floor - 3 bhk 2 toilet 1250 sft 1 balcony. 2nd floor,3rd floor same Car parking - 5 Ground floor - 300 sft Comersial shop Nearest 10 minutes walking distance Lake Garden Railway station. 5 minutes Auto distance Rabindra Sarabar metro station. 5 minutes walking distance Southcity mall,Lords bacary more. Loan available Brokage charge - 2%",West Bengal,Kolkata,4+ Bds - 4+ Ba - 4000 ft2,2022-01-09T17:04:26+0000,26000000
Flat for sale,2BHK apt for sale,Tamil Nadu,Chennai,2 Bds - 2 Ba - 680 ft2,2022-01-09T17:04:01+0000,4500000
